Eman x Vlooper,Back To Me,XXL ,2014-09-02,intro,1
Eman x Vlooper,Back To Me,XXL ,2014-09-02,fuckin',110
Eman x Vlooper,Back To Me,XXL ,2014-09-02,clip,111
Eman x Vlooper,Back To Me,XXL ,2014-09-02,dans,112
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ta,113
Eman x Vlooper,Back To Me,XXL ,2014-09-02,tv,113
Eman x Vlooper,Back To Me,XXL ,2014-09-02,jusqu'à,114
Eman x Vlooper,Back To Me,XXL ,2014-09-02,baie,115
Eman x Vlooper,Back To Me,XXL ,2014-09-02,des,115
Eman x Vlooper,Back To Me,XXL ,2014-09-02,chaleurs,116
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'veux,117
Eman x Vlooper,Back To Me,XXL ,2014-09-02,juste,118
Eman x Vlooper,Back To Me,XXL ,2014-09-02,rouler,119
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pis,120
Eman x Vlooper,Back To Me,XXL ,2014-09-02,botter,121
Eman x Vlooper,Back To Me,XXL ,2014-09-02,des,121
Eman x Vlooper,Back To Me,XXL ,2014-09-02,culs,122
Eman x Vlooper,Back To Me,XXL ,2014-09-02,jusqu'à,122
Eman x Vlooper,Back To Me,XXL ,2014-09-02,baie,122
Eman x Vlooper,Back To Me,XXL ,2014-09-02,des,122
Eman x Vlooper,Back To Me,XXL ,2014-09-02,chaleurs,122
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'men,123
Eman x Vlooper,Back To Me,XXL ,2014-09-02,fous,124
Eman x Vlooper,Back To Me,XXL ,2014-09-02,qu'tu,125
Eman x Vlooper,Back To Me,XXL ,2014-09-02,m'reconnaisses,126
Eman x Vlooper,Back To Me,XXL ,2014-09-02,dans,126
Eman x Vlooper,Back To Me,XXL ,2014-09-02,rue,127
Eman x Vlooper,Back To Me,XXL ,2014-09-02,viens,128
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pas,128
Eman x Vlooper,Back To Me,XXL ,2014-09-02,m'rapper,129
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ton,130
Eman x Vlooper,Back To Me,XXL ,2014-09-02,dans,130
Eman x Vlooper,Back To Me,XXL ,2014-09-02,l'oreille,131
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j't'en,132
Eman x Vlooper,Back To Me,XXL ,2014-09-02,voudrai,133
Eman x Vlooper,Back To Me,XXL ,2014-09-02,jamais,134
Eman x Vlooper,Back To Me,XXL ,2014-09-02,si,134
Eman x Vlooper,Back To Me,XXL ,2014-09-02,t'écrases,135
Eman x Vlooper,Back To Me,XXL ,2014-09-02,mon,135
Eman x Vlooper,Back To Me,XXL ,2014-09-02,orteil,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,modlee,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,we,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,got,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,swing,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,you,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,you,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,you,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,we,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,got,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,swing,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,you,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,you,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,you,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,we,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,got,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,back,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,to,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,swing,136
Eman x Vlooper,Back To Me,XXL ,2014-09-02,2,137
Eman x Vlooper,Back To Me,XXL ,2014-09-02,eman,137
Eman x Vlooper,Back To Me,XXL ,2014-09-02,han,138
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'suis,138
Eman x Vlooper,Back To Me,XXL ,2014-09-02,s'une,139
Eman x Vlooper,Back To Me,XXL ,2014-09-02,mission,140
Eman x Vlooper,Back To Me,XXL ,2014-09-02,bin,141
Eman x Vlooper,Back To Me,XXL ,2014-09-02,précise,142
Eman x Vlooper,Back To Me,XXL ,2014-09-02,faire,143
Eman x Vlooper,Back To Me,XXL ,2014-09-02,des,143
Eman x Vlooper,Back To Me,XXL ,2014-09-02,p'tits,144
Eman x Vlooper,Back To Me,XXL ,2014-09-02,rouleaux,145
Eman x Vlooper,Back To Me,XXL ,2014-09-02,d'papier,146
Eman x Vlooper,Back To Me,XXL ,2014-09-02,sans,147
Eman x Vlooper,Back To Me,XXL ,2014-09-02,m'dévêtir,148
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pas,148
Eman x Vlooper,Back To Me,XXL ,2014-09-02,facile,149
Eman x Vlooper,Back To Me,XXL ,2014-09-02,tu,149
Eman x Vlooper,Back To Me,XXL ,2014-09-02,vas,150
Eman x Vlooper,Back To Me,XXL ,2014-09-02,dire,151
Eman x Vlooper,Back To Me,XXL ,2014-09-02,tu,151
Eman x Vlooper,Back To Me,XXL ,2014-09-02,l'puff,152
Eman x Vlooper,Back To Me,XXL ,2014-09-02,à,153
Eman x Vlooper,Back To Me,XXL ,2014-09-02,six,154
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pis,154
Eman x Vlooper,Back To Me,XXL ,2014-09-02,tu,154
Eman x Vlooper,Back To Me,XXL ,2014-09-02,viens,154
Eman x Vlooper,Back To Me,XXL ,2014-09-02,d'mentir,155
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'fais,156
Eman x Vlooper,Back To Me,XXL ,2014-09-02,des,156
Eman x Vlooper,Back To Me,XXL ,2014-09-02,fractions,157
Eman x Vlooper,Back To Me,XXL ,2014-09-02,sans,157
Eman x Vlooper,Back To Me,XXL ,2014-09-02,savoir,158
Eman x Vlooper,Back To Me,XXL ,2014-09-02,c'que,159
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ça,160
Eman x Vlooper,Back To Me,XXL ,2014-09-02,veut,161
Eman x Vlooper,Back To Me,XXL ,2014-09-02,dire,161
Eman x Vlooper,Back To Me,XXL ,2014-09-02,l'autre,162
Eman x Vlooper,Back To Me,XXL ,2014-09-02,fois,163
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'ai,164
Eman x Vlooper,Back To Me,XXL ,2014-09-02,rêvé,165
Eman x Vlooper,Back To Me,XXL ,2014-09-02,d'l'autre,166
Eman x Vlooper,Back To Me,XXL ,2014-09-02,soir,167
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pis,167
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ça,167
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ma,168
Eman x Vlooper,Back To Me,XXL ,2014-09-02,faite,169
Eman x Vlooper,Back To Me,XXL ,2014-09-02,bin,169
Eman x Vlooper,Back To Me,XXL ,2014-09-02,peur,170
Eman x Vlooper,Back To Me,XXL ,2014-09-02,fait,171
Eman x Vlooper,Back To Me,XXL ,2014-09-02,qu'j'ai,172
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pas,172
Eman x Vlooper,Back To Me,XXL ,2014-09-02,voulu,173
Eman x Vlooper,Back To Me,XXL ,2014-09-02,savoir,173
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pourquoi,174
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'suis,174
Eman x Vlooper,Back To Me,XXL ,2014-09-02,su'l,175
Eman x Vlooper,Back To Me,XXL ,2014-09-02,tracé,176
Eman x Vlooper,Back To Me,XXL ,2014-09-02,bin…,177
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'suis,177
Eman x Vlooper,Back To Me,XXL ,2014-09-02,su'un,178
Eman x Vlooper,Back To Me,XXL ,2014-09-02,tracé,178
Eman x Vlooper,Back To Me,XXL ,2014-09-02,bin,178
Eman x Vlooper,Back To Me,XXL ,2014-09-02,précis,179
Eman x Vlooper,Back To Me,XXL ,2014-09-02,si,179
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'me,180
Eman x Vlooper,Back To Me,XXL ,2014-09-02,l'rappelle,181
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ça,181
Eman x Vlooper,Back To Me,XXL ,2014-09-02,va,182
Eman x Vlooper,Back To Me,XXL ,2014-09-02,passer,183
Eman x Vlooper,Back To Me,XXL ,2014-09-02,comme,183
Eman x Vlooper,Back To Me,XXL ,2014-09-02,un,183
Eman x Vlooper,Back To Me,XXL ,2014-09-02,lundi,184
Eman x Vlooper,Back To Me,XXL ,2014-09-02,midi,185
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pas,185
Eman x Vlooper,Back To Me,XXL ,2014-09-02,une,185
Eman x Vlooper,Back To Me,XXL ,2014-09-02,crisse,186
Eman x Vlooper,Back To Me,XXL ,2014-09-02,de,186
Eman x Vlooper,Back To Me,XXL ,2014-09-02,cenne,187
Eman x Vlooper,Back To Me,XXL ,2014-09-02,quand,188
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'en,189
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ai,190
Eman x Vlooper,Back To Me,XXL ,2014-09-02,sont,191
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ben,192
Eman x Vlooper,Back To Me,XXL ,2014-09-02,zen,193
Eman x Vlooper,Back To Me,XXL ,2014-09-02,y,194
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pourraient,195
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pas,195
Eman x Vlooper,Back To Me,XXL ,2014-09-02,juste,195
Eman x Vlooper,Back To Me,XXL ,2014-09-02,me,195
Eman x Vlooper,Back To Me,XXL ,2014-09-02,coller/strapper,196
Eman x Vlooper,Back To Me,XXL ,2014-09-02,s'a,197
Eman x Vlooper,Back To Me,XXL ,2014-09-02,bédaine,198
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'ai,198
Eman x Vlooper,Back To Me,XXL ,2014-09-02,un,198
Eman x Vlooper,Back To Me,XXL ,2014-09-02,carré,199
Eman x Vlooper,Back To Me,XXL ,2014-09-02,d'sable,200
Eman x Vlooper,Back To Me,XXL ,2014-09-02,devenu,201
Eman x Vlooper,Back To Me,XXL ,2014-09-02,un,201
Eman x Vlooper,Back To Me,XXL ,2014-09-02,carré,201
Eman x Vlooper,Back To Me,XXL ,2014-09-02,d'vase,202
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'sais,203
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pas,203
Eman x Vlooper,Back To Me,XXL ,2014-09-02,pourquoi,203
Eman x Vlooper,Back To Me,XXL ,2014-09-02,mais,204
Eman x Vlooper,Back To Me,XXL ,2014-09-02,y,204
Eman x Vlooper,Back To Me,XXL ,2014-09-02,a,205
Eman x Vlooper,Back To Me,XXL ,2014-09-02,trop,206
Eman x Vlooper,Back To Me,XXL ,2014-09-02,d'eau,207
Eman x Vlooper,Back To Me,XXL ,2014-09-02,qui,207
Eman x Vlooper,Back To Me,XXL ,2014-09-02,postillonne,208
Eman x Vlooper,Back To Me,XXL ,2014-09-02,quand,208
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'jase,209
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'ai,209
Eman x Vlooper,Back To Me,XXL ,2014-09-02,à,209
Eman x Vlooper,Back To Me,XXL ,2014-09-02,ma,209
Eman x Vlooper,Back To Me,XXL ,2014-09-02,gauche,210
Eman x Vlooper,Back To Me,XXL ,2014-09-02,qui,210
Eman x Vlooper,Back To Me,XXL ,2014-09-02,souffle,211
Eman x Vlooper,Back To Me,XXL ,2014-09-02,un,211
Eman x Vlooper,Back To Me,XXL ,2014-09-02,nuage,212
Eman x Vlooper,Back To Me,XXL ,2014-09-02,mauve,213
Eman x Vlooper,Back To Me,XXL ,2014-09-02,j'ai,213
Eman x Vlooper,Back To Me,XXL ,2014-09-02,l'industrie,214
Eman x Vlooper,Back To Me,XXL ,2014-09-02,à,214
